database_name,database_position,database_age,database_ca,database_pa,database_nationality,database_club,database_uid,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度_2,创造,进攻,技术_2,制空,精神,拦截射门,身体_2,速度_3,精神_2,指挥防守,意外性,制空_2,大脚,球员习惯,二维码&球员名片&扫码填写评价
Morten Hjulmand,DM/M C,26,156,158,Denmark,Sporting Clube de Portugal,27132703,8,9,10,9,13,7,9,14,9,14,15,7,16,14,18,13,18,13,16,15,18,9,18,12,16,19,12,18,12,12,16,13,16,12,18,14,20,17,15,7,10,2,4,2,1,3,2,3,1,2,2,3,11,14,8,11,18,19,13,13,1,1,1,1,1,1,20,13,19,5,1,11,1,1,185,12,20,"£93,495,072",7800,7500,6500,NorthernEuropean,155,5,36336,19,1,"£33,147",27132703,15.3333333333333,15,12,12,11.3333333333333,12.3333333333333,11,16.5,2,15,12,16.5,3,1,2.5,2.5,"倒地铲球
长距离传球",#NAME?
"Cristiano Ronaldo(Al-Nassr Football Club,Portugal)",ST ,40,155,195,Portugal,Al-Nassr Football Club,735216,10,11,13,18,15,12,19,15,7,3,13,20,5,17,6,18,11,15,13,13,20,17,19,20,4,6,11,5,11,10,13,15,20,10,11,15,13,12,18,6,6,3,2,2,1,1,3,3,1,3,3,3,17,20,16,10,19,20,5,7,1,1,1,1,1,1,1,1,1,1,12,1,10,20,187,15,20,"£300,000,000",7750,10000,7750,MediterraneanHispanic,153,6,31083,221,138,"£3,413,698",735216,4,12.25,10.5,13.6666666666667,17.6666666666667,15,17,13.5,2,12.25,10.5,13.5,2,1,2,3,"与裁判争论
尝试倒勾球
任意球大力攻门
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）
用脚触球",#NAME?
Karim Benzema,ST ,37,155,185,"France,Algeria",Al-Ittihad Club,8435089,10,12,16,16,19,12,14,12,7,6,17,16,9,20,7,15,10,17,12,15,16,17,15,16,8,15,17,12,11,10,15,12,17,10,11,14,13,4,14,12,8,1,3,3,1,2,2,2,3,3,2,2,11,17,19,12,14,19,17,16,1,1,1,1,1,1,1,1,1,1,1,12,1,20,185,14,20,"£7,279,999",7750,8750,7250,NorthAfricanMiddleEastern,154,9,32130,97,37,"£3,314,765",8435089,7.66666666666667,12.5,10.5,17,16.3333333333333,18.3333333333333,13,13.8333333333333,2.5,12.5,10.5,13.8333333333333,3,1,1.5,2,"跑肋部空间接球
经常尝试传身后球
角度刁钻的射门
回撤拿球
撞墙式配合",#NAME?
Joan García,GK ,24,155,175,Spain,Barcelona,67277675,7,2,2,2,13,9,9,1,2,1,12,9,2,12,11,14,14,14,16,14,15,9,11,9,15,12,9,12,13,15,12,14,13,12,13,13,16,8,14,6,1,14,14,12,7,14,13,15,18,10,12,12,12,15,7,12,13,15,12,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,8,20,"£28,562,354",7750,7750,6250,MediterraneanHispanic,154,3,37015,0,0,"£99,470",67277675,6,13.25,12.5,10,8.33333333333333,9,11.5,14.1666666666667,16.5,13.25,12.5,14.1666666666667,13,7,14,12.5,,#NAME?
Micky van de Ven,D/WB LC,24,155,175,Netherlands,Tottenham Hotspur,37084591,3,11,13,7,12,3,13,7,14,14,13,6,16,13,14,15,16,13,13,15,17,13,14,10,14,13,12,15,16,12,14,15,16,20,13,15,14,7,14,6,12,1,2,1,1,4,1,2,2,2,3,1,11,17,12,9,13,13,12,12,1,16,20,1,16,1,10,1,1,1,1,1,1,1,193,20,8,"£67,283,333",7750,7300,6650,NorthernEuropean,154,2,37000,12,1,"£85,000",37084591,14.6666666666667,13.5,18,12.6666666666667,10,12.6666666666667,14,14.8333333333333,2,13.5,18,14.8333333333333,1.5,1,2.5,1,"长距离传球
把球带出防守区域",#NAME?
Matthijs de Ligt,D C,25,155,173,Netherlands,Manchester United,37055843,4,5,9,8,12,8,16,10,8,16,13,8,16,12,16,14,18,11,14,13,16,5,15,7,16,15,10,15,12,11,16,16,11,14,13,18,14,9,14,13,12,3,2,1,2,2,4,1,1,2,1,1,17,17,6,12,14,19,15,12,1,7,20,9,1,1,12,1,10,1,1,1,1,5,189,10,20,"£62,617,500",7750,7750,7500,NorthernEuropean,153,1,36384,50,2,"£220,000",37055843,16,14.5,13,9.33333333333333,8.66666666666667,11,16,15,1,14.5,13,15,1.5,2,2.5,2.5,"习惯简单短传配合
倒地铲球",#NAME?
Leroy Sané,AM RLC,29,155,172,"Germany,France,Senegal",Galatasaray A.Ş.,91138280,14,12,17,12,14,16,8,16,7,7,15,13,8,16,13,15,10,13,11,13,12,16,11,14,8,12,15,10,16,16,12,12,12,17,12,11,12,14,10,12,13,1,2,3,2,3,1,2,1,2,2,1,11,13,13,12,8,12,7,7,1,1,1,1,12,12,1,15,12,15,20,15,18,10,183,20,9,"£42,436,008",7800,7750,7200,MixedRace,150,12,35075,70,14,"£249,290",91138280,7.66666666666667,12.75,16.5,15.3333333333333,13,15.6666666666667,10,12.1666666666667,1.5,12.75,16.5,12.1666666666667,2.5,2,2,1,"远射
避免使用弱势脚
主罚远距离任意球
喜欢连续过多人
经常带球",#NAME?
Gabriel Martinelli,AM RL,24,155,170,"Brazil,Italy",Arsenal,19351309,13,11,16,14,14,10,11,9,3,5,12,11,5,15,14,13,14,13,12,13,17,15,7,15,7,16,13,17,17,16,14,11,13,16,15,11,14,10,13,10,12,2,3,1,3,1,1,3,1,2,3,3,16,17,5,14,15,17,14,14,1,1,1,1,1,1,1,12,1,10,20,10,16,15,180,10,20,"£78,537,334",7750,7750,7000,MediterraneanHispanic,150,8,37060,18,2,"£242,000",19351309,5.66666666666667,14,16.5,13.3333333333333,14,15,11,14.1666666666667,2,14,16.5,14.1666666666667,2,3,1.5,2,"角度刁钻的射门
趟球变向加速过人
从左路内切",#NAME?
Gavi,DM/M/AM C,20,155,170,Spain,Barcelona,2000049413,12,13,14,11,14,11,6,11,8,12,15,9,14,15,19,15,19,12,15,14,19,14,15,16,12,16,15,18,13,15,15,7,15,12,14,14,13,15,14,10,16,2,1,1,3,3,3,2,4,1,1,3,15,17,7,14,14,16,8,7,1,1,1,1,1,1,18,12,20,10,12,18,10,1,173,12,20,"£86,606,480",7750,7750,7000,MediterraneanHispanic,152,6,38204,27,5,"£155,557",2000049413,12.6666666666667,14.5,12.5,14.6666666666667,13,14.3333333333333,6.5,16.3333333333333,3,14.5,12.5,16.3333333333333,1,3,2.5,3,"经常尝试传身后球
激怒对手
回撤拿球
倒地铲球",#NAME?
Hugo Ekitiké,ST ,23,155,170,"France,Cameroon",Liverpool,49062667,7,10,15,14,16,12,14,13,6,6,15,13,7,16,12,15,12,13,12,13,13,16,10,15,7,14,15,13,15,16,16,14,12,16,13,13,14,8,14,8,12,3,2,1,3,2,1,2,3,1,2,2,11,16,8,8,11,13,14,16,1,1,1,1,1,1,1,10,1,10,14,14,14,20,190,12,20,"£75,739,000",7750,6500,7000,AfricanCaribbean,155,9,37427,0,0,"£250,000",49062667,6.66666666666667,14.5,15.5,15.3333333333333,14,15.6666666666667,14,13.1666666666667,2.5,14.5,15.5,13.1666666666667,1.5,3,2.5,1.5,"用外脚背
尝试花式动作
经常带球",#NAME?
João Cancelo,D/WB RL,31,155,170,Portugal,Al-Hilal Saudi Football Club,55041623,13,16,16,12,16,12,10,13,14,9,16,11,13,17,15,15,12,14,11,13,13,17,7,14,11,12,16,13,14,15,14,11,14,13,13,12,12,13,13,9,17,2,2,3,1,2,1,1,2,1,1,1,14,19,15,6,10,10,9,7,1,20,1,20,18,18,12,12,12,12,12,10,12,1,182,11,20,"£300,000,000",7750,7900,7250,MediterraneanHispanic,140,6,34481,60,10,"£248,607",55041623,11,13.5,13.5,16.3333333333333,13.3333333333333,16.3333333333333,10.5,12.6666666666667,1.5,13.5,13.5,12.6666666666667,2.5,1,2,1,"有机会就前插
用外脚背
利用脚下技术将球带出危险区
尝试花式动作
从左路内切",#NAME?
Jurriën Timber,D RLC,24,155,170,"Netherlands,Curaçao",Arsenal,37063644,4,12,13,7,14,8,13,7,10,14,15,8,15,15,13,16,16,15,15,15,16,12,10,14,15,16,12,15,14,15,13,13,13,15,14,13,15,9,14,11,14,3,4,1,3,1,1,1,2,1,2,2,16,13,5,13,15,15,15,12,1,18,17,20,10,14,14,1,10,10,1,1,1,1,179,12,20,"£60,379,165",7750,7750,6750,AfricanCaribbean,155,13,37059,18,0,"£110,000",37063644,14.6666666666667,13.75,14.5,13,12,14,13,15.6666666666667,1.5,13.75,14.5,15.6666666666667,2.5,3,2,1.5,把球带出防守区域,#NAME?
Kingsley Coman,AM RL,29,155,170,"France,Guinea,Guadeloupe",Al-Nassr Football Club,85104424,11,12,17,11,15,10,8,13,6,8,14,11,9,17,13,13,12,12,12,12,13,17,11,13,8,14,14,13,17,17,15,10,10,15,13,9,12,9,16,15,16,3,2,2,2,2,2,3,3,3,1,2,16,16,12,16,12,13,9,10,1,1,1,1,12,12,1,15,10,15,20,12,18,12,179,12,20,"£78,000,000",7750,7750,7250,AfricanCaribbean,151,16,35229,58,8,"£414,345",85104424,8.33333333333333,13.5,16,15,12,16.3333333333333,9,12.6666666666667,3,13.5,16,12.6666666666667,2,2,2.5,2,"尝试花式动作
喜欢连续过多人
经常带球",#NAME?
Levi Colwill,D LC,22,155,170,England,Chelsea,28124573,3,7,11,5,14,3,15,2,10,14,16,11,15,15,12,13,12,16,16,15,12,6,13,11,15,12,12,15,15,12,15,15,14,15,14,16,11,11,9,7,15,1,3,2,1,2,2,1,2,2,2,1,13,12,7,11,9,10,12,12,1,15,20,1,12,1,1,1,1,1,1,1,1,1,187,20,10,"£94,218,336",7750,7750,6250,AfricanCaribbean,154,12,37678,5,0,"£75,000",28124573,14.6666666666667,14.25,15,11.3333333333333,10.6666666666667,13.3333333333333,15,13.3333333333333,1.5,14.25,15,13.3333333333333,2.5,1,1.5,1.5,,#NAME?
Lucas Chevalier,GK ,23,155,170,France,Paris Saint-Germain,49048357,1,2,3,2,16,1,3,2,1,2,16,2,2,13,12,15,14,14,12,13,16,15,14,11,13,13,15,14,11,15,13,15,13,12,14,12,14,7,18,5,2,16,14,14,14,15,11,17,15,15,5,14,13,15,7,16,16,15,13,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,11,20,"£98,546,648",7750,7750,5250,NorthernEuropean,153,4,37201,0,0,"£85,334",49048357,5.66666666666667,13.5,11.5,15.3333333333333,9,10.6666666666667,9,13.8333333333333,16,13.5,11.5,13.8333333333333,14,14,15.5,12.5,,#NAME?
N'Golo Kanté,DM/M C,34,155,170,"France,Mali",Al-Ittihad Club,85081880,6,10,12,9,13,6,9,10,6,13,15,7,19,14,16,17,15,14,15,16,19,11,8,13,15,20,13,19,15,15,15,6,18,8,15,11,16,5,18,9,9,2,4,3,2,1,3,3,3,3,2,1,18,14,1,14,15,20,18,20,1,1,1,1,1,1,18,1,20,1,10,14,1,1,168,8,20,"£9,815,036",7750,7250,7750,AfricanCaribbean,144,17,33326,64,2,"£390,617",85081880,15.6666666666667,14,11.5,13,12,13,7.5,17,3,14,11.5,17,3.5,2,1.5,2,"喜欢将球转移到边路
经常带球",#NAME?
Mikel Oyarzábal,AM/ST RLC,28,155,167,"Spain,Pays Basque",Real San Sebastián,67220143,14,12,15,15,15,14,12,12,12,11,15,18,11,16,13,14,13,14,14,15,16,14,18,16,13,14,16,16,12,14,14,13,14,12,13,13,14,7,14,5,17,1,1,1,3,3,1,2,1,3,3,2,12,14,8,20,13,18,16,13,1,1,1,1,1,1,1,12,8,12,20,17,17,19,180,20,10,"£64,815,508",7750,7750,7100,MediterraneanHispanic,149,1,35541,45,16,"£37,266",67220143,11.6666666666667,13.5,12,15,15,15.3333333333333,12.5,14.3333333333333,1.5,13.5,12,14.3333333333333,1,3,2,1.5,从左路内切,#NAME?
Andrew Robertson,D/WB L,31,155,165,Scotland,Liverpool,61043456,14,16,12,2,15,9,10,5,13,14,14,7,15,14,17,14,15,14,15,14,16,11,16,14,13,17,12,17,16,15,14,9,17,15,18,12,13,14,15,8,6,3,2,1,1,4,4,3,2,1,3,1,17,15,12,18,15,15,7,13,1,20,13,1,18,1,1,13,1,1,1,1,1,1,178,20,4,"£34,290,692",7800,8050,7000,NorthernEuropean,153,1,34404,84,4,"£175,000",61043456,14,14.75,15.5,12.3333333333333,10,13.6666666666667,9.5,15.1666666666667,2.5,14.75,15.5,15.1666666666667,1.5,1,3.5,2.5,"有机会就前插
避免使用弱势脚
经常带球",#NAME?
Boubacar Kamara,DM/M C,25,155,165,France,Aston Villa,48043084,6,8,12,6,14,6,14,8,5,15,15,7,16,14,12,18,14,16,14,15,13,10,9,13,16,16,13,16,14,14,15,14,16,15,16,13,15,11,13,10,12,1,3,2,4,1,1,2,1,2,2,1,13,14,8,13,12,15,15,16,1,1,14,1,1,1,20,1,18,1,1,1,1,1,184,10,20,"£60,087,500",7750,7250,6250,AfricanCaribbean,155,13,36487,5,0,"£150,000",48043084,15.6666666666667,14.5,14.5,12.6666666666667,11.6666666666667,13.3333333333333,14,15,1.5,14.5,14.5,15,2.5,4,1,1,,#NAME?
Darwin Núñez,AM/ST L,26,155,165,Uruguay,Al-Hilal Saudi Football Club,78090138,4,13,13,14,13,9,12,13,4,6,11,14,9,15,16,13,12,13,11,13,15,16,4,16,7,15,14,15,17,14,13,14,14,17,14,14,12,7,13,7,10,3,3,3,3,1,2,3,2,2,1,2,14,14,9,11,12,14,10,11,1,1,1,1,1,1,1,11,1,1,17,1,12,20,187,13,20,"£77,000,008",7750,7800,6500,MediterraneanHispanic,150,7,36335,35,13,"£357,349",78090138,7.33333333333333,13.75,17,13.6666666666667,14.3333333333333,13.6666666666667,13,13.1666666666667,2.5,13.75,17,13.1666666666667,3,3,2,2,"跑肋部空间接球
趟球变向加速过人",#NAME?
Ferran Torres,AM/ST RL,25,155,165,Spain,Barcelona,89056845,9,13,14,14,13,10,14,13,7,6,13,12,8,15,11,14,13,12,13,13,16,14,10,18,7,14,13,14,15,14,14,12,15,16,14,12,12,6,14,12,14,3,3,1,3,2,3,3,1,3,1,2,12,16,7,12,13,16,14,14,1,1,1,1,1,1,1,10,1,12,19,12,19,20,184,12,20,"£42,156,008",7700,7700,7200,MediterraneanHispanic,148,6,36585,46,20,"£165,754",89056845,7,13.5,15.5,13.3333333333333,14.6666666666667,14,13,13.8333333333333,2,13.5,15.5,13.8333333333333,2,3,2.5,2.5,"跑肋部空间接球
角度刁钻的射门
乐于反越位
撞墙式配合",#NAME?
Henrikh Mkhitaryan,M C,36,155,165,Armenia,Blu-neri Milano,59006269,11,12,12,13,16,11,10,13,5,10,16,13,13,16,14,16,13,14,14,16,17,14,12,15,12,15,14,13,13,14,13,8,18,13,15,10,15,6,13,10,16,2,1,3,3,4,3,4,3,2,1,3,17,18,10,6,14,19,13,14,1,1,1,1,1,1,15,10,20,9,10,13,9,10,177,15,20,"£4,656,967",7750,8000,7000,NorthAfricanMiddleEastern,155,6,32529,94,32,"£80,936",59006269,11.6666666666667,13,13,14.6666666666667,14,14.6666666666667,9,15.1666666666667,3.5,13,13,15.1666666666667,2,3,3,3,"跑肋部空间接球
有机会就前插
撞墙式配合",#NAME?
Íñigo Martínez,D C,34,155,165,"Spain,Pays Basque",Al-Nassr Football Club,67104772,7,11,11,8,13,13,15,13,9,15,15,9,16,14,17,15,16,15,15,15,16,9,16,8,16,15,12,16,12,12,13,12,13,12,14,15,15,14,15,12,5,2,3,2,2,2,2,1,1,3,2,1,14,14,10,10,14,16,12,8,1,14,20,1,10,1,1,1,1,1,1,1,1,1,182,20,10,"£8,688,131",7750,7700,6000,MediterraneanHispanic,154,5,33375,21,1,"£232,033",67104772,15.6666666666667,13.5,12,12,10.3333333333333,12.6666666666667,13.5,15.3333333333333,1,13.5,12,15.3333333333333,2.5,2,2,1.5,"远射
利用脚下技术将球带出危险区
尽早传中",#NAME?
Jeremie Frimpong,D/WB/M/AM R,24,155,164,"Netherlands,Ghana,England",Liverpool,28113828,10,13,16,12,12,7,6,9,8,9,12,10,11,14,14,12,13,10,10,11,14,16,6,15,9,13,12,15,18,17,12,6,16,17,15,9,12,12,13,5,14,1,2,3,1,1,3,3,2,1,3,3,15,16,8,12,12,12,10,9,1,12,1,20,12,20,1,10,1,18,10,12,17,1,172,9,20,"£57,879,166",7750,7250,6750,AfricanCaribbean,125,16,36870,13,1,"£200,000",28113828,9.66666666666667,13.25,17.5,13.3333333333333,12.3333333333333,14,6,12.1666666666667,2.5,13.25,17.5,12.1666666666667,2.5,1,1,3,"跑肋部空间接球
有机会就前插
撞墙式配合
经常带球",#NAME?
Marco Asensio,AM RLC,29,155,163,"Spain,Netherlands",Fenerbahçe A.Ş.,67197125,15,15,16,15,17,15,8,16,7,5,16,14,8,16,9,15,13,15,13,14,15,17,11,14,11,14,16,14,14,15,13,10,16,13,14,12,12,10,12,8,14,1,2,2,3,4,3,1,4,3,3,1,12,8,7,10,14,12,10,12,1,1,1,1,1,1,1,10,12,14,19,18,20,6,182,20,10,"£56,000,604",7750,8050,6700,MediterraneanHispanic,155,6,35085,38,2,"£166,193",67197125,8,13.5,13.5,16.3333333333333,14.6666666666667,16.3333333333333,9,14,2.5,13.5,13.5,14,2,3,2.5,2,"远射
弧线球射门
喜欢从双侧内切
经常带球",#NAME?
Marcos Llorente,D/WB/M/AM RC,30,155,163,Spain,A. Madrid,67196198,9,11,12,12,12,8,11,11,7,11,13,11,14,13,13,15,14,14,14,13,16,12,12,13,12,16,13,16,14,14,11,11,18,15,17,14,13,14,13,7,19,3,2,3,2,2,3,2,3,3,2,3,12,15,5,16,16,18,13,12,1,1,8,18,1,18,15,1,15,20,1,12,17,8,184,10,20,"£44,345,628",7600,7600,6850,MediterraneanHispanic,142,6,34729,19,0,"£132,954",67196198,12.3333333333333,14,14.5,12.6666666666667,13,12.3333333333333,11,14.6666666666667,2.5,14,14.5,14.6666666666667,2.5,2,2.5,3,"回撤拿球
长距离传球
喜欢将球转移到边路",#NAME?
Alessandro Buongiorno,D C,26,155,162,Italy,Parthenope,43270682,4,8,9,10,12,7,16,10,9,16,13,8,17,11,15,16,14,15,16,14,15,8,13,10,16,15,12,15,12,14,14,15,15,12,15,14,16,10,13,11,11,3,1,4,1,1,2,1,3,3,4,2,14,16,7,14,14,16,12,13,1,12,20,1,1,1,1,1,1,1,1,1,1,1,194,20,8,"£51,996,944",7750,7700,6250,MediterraneanHispanic,155,1,36317,10,0,"£76,947",43270682,16.3333333333333,14.25,12,11,11.6666666666667,10.6666666666667,15.5,15,2,14.25,12,15,2.5,1,2,2,,#NAME?
Benjamin White,D RC,27,155,162,England,Arsenal,29141472,3,13,12,8,14,3,14,9,7,15,14,5,15,14,13,17,15,16,14,15,14,13,11,12,16,16,13,14,14,14,13,14,13,14,15,14,14,7,12,8,14,3,1,1,3,3,2,1,3,1,3,1,14,14,8,8,14,15,12,15,1,1,17,20,1,12,13,1,10,1,1,1,1,1,185,11,20,"£48,875,000",7750,6500,6750,NorthernEuropean,153,6,35711,4,0,"£110,000",29141472,15.3333333333333,14,14,13.3333333333333,12,13.3333333333333,14,15.1666666666667,2,14,14,15.1666666666667,1,3,3,1.5,"利用脚下技术将球带出危险区
把球带出防守区域",#NAME?
Andriy Lunin,GK ,26,155,160,Ukraine,R. Madrid,71099053,8,1,2,2,12,10,9,1,1,3,10,3,3,10,5,13,13,13,13,14,15,2,8,3,14,13,11,14,14,16,12,15,14,12,14,14,14,5,12,3,14,15,16,16,12,14,12,15,16,13,14,13,14,12,5,14,15,17,14,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,10,20,"£32,958,684",7750,7500,6750,NorthernEuropean,155,1,36202,16,0,"£46,407",71099053,6.66666666666667,14,13,7.66666666666667,6,8,12,13.5,15.5,14,13,13.5,16,12,14.5,12.5,,#NAME?
Bryan Mbeumo,AM/ST RLC,25,155,160,"Cameroon,France",Manchester United,48042658,12,13,15,14,17,12,9,13,6,6,13,17,6,15,12,13,13,15,13,14,17,15,8,14,7,14,13,17,15,13,13,8,17,15,15,13,16,7,15,4,13,3,1,1,2,3,3,3,3,1,2,2,14,15,7,15,13,15,13,14,1,1,1,1,1,1,1,13,1,14,17,18,20,17,171,20,9,"£69,575,000",7750,7500,6750,AfricanCaribbean,149,13,36379,22,6,"£150,000",48042658,6.33333333333333,13.5,15,13.6666666666667,14.3333333333333,15.6666666666667,8.5,14,3,13.5,15,14,1,2,3,2.5,"插入对方禁区
角度刁钻的射门
弧线球射门
喜欢从双侧内切
经常带球",#NAME?
Mateo Retegui,ST ,26,155,160,"Italy,Argentina",Al-Qadsiah Football Club,14180903,4,9,12,17,14,6,16,11,7,5,12,17,8,14,14,16,15,15,15,14,15,13,10,16,8,15,12,16,14,12,13,14,15,14,14,16,15,12,12,6,8,2,1,3,3,2,2,3,3,2,3,1,15,17,5,10,11,15,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,20,186,12,20,"£78,000,008",7750,7750,6250,MediterraneanHispanic,154,7,36279,20,6,"£331,476",14180903,7,13.75,14,12.3333333333333,16,13.3333333333333,15,15,3,13.75,14,15,2,3,2,1.5,"背身拿球
第一时间射门",#NAME?
Théo Hernández,D/WB L,27,155,160,"France,Spain",Al-Hilal Saudi Football Club,67211695,11,15,14,12,13,11,13,15,7,13,13,13,14,13,18,14,14,14,10,12,14,11,14,16,13,11,12,13,16,14,15,12,16,17,16,14,13,17,14,7,12,3,2,3,1,2,2,1,1,2,2,1,17,14,16,10,13,10,6,5,1,20,14,1,20,1,1,15,1,1,10,1,1,1,184,20,8,"£71,400,008",7750,7900,7250,MediterraneanHispanic,147,2,35709,38,2,"£331,476",67211695,13.3333333333333,14.75,16.5,12,14,13.3333333333333,12.5,12.5,1,14.75,16.5,12.5,2.5,1,2.5,1.5,"有机会就前插
与裁判争论
经常带球
从左路内切",#NAME?
Youri Tielemans,DM/M/AM C,28,155,160,"Belgium,Democratic Republic of Congo",Aston Villa,18077264,11,13,13,12,16,12,10,14,3,11,18,14,12,17,13,15,11,15,12,14,13,15,13,14,13,14,18,13,12,12,12,8,13,12,12,10,15,8,12,5,15,3,3,3,2,2,3,2,3,2,2,2,13,17,11,13,13,14,15,15,1,1,1,1,1,1,18,1,20,1,1,18,1,1,176,14,20,"£60,087,500",7750,7450,6900,MixedRace,150,12,35557,77,10,"£155,000",18077264,12,11.5,12,17,13.6666666666667,15.3333333333333,9,13.1666666666667,2.5,11.5,12,13.1666666666667,3,2,2.5,2.5,"经常尝试传身后球
远射
利用脚下技术将球带出危险区",#NAME?
Leandro Trossard,AM RLC,30,155,159,Belgium,Arsenal,18054004,14,12,15,14,15,12,6,13,4,6,14,13,4,16,13,14,13,14,14,14,14,15,8,15,9,14,15,14,16,15,13,6,12,14,13,9,13,8,15,8,15,3,3,2,2,1,1,3,2,1,1,1,12,15,9,8,13,12,13,13,1,1,1,1,12,1,1,14,1,12,20,16,16,15,172,15,20,"£45,511,644",7750,7750,6550,NorthernEuropean,149,2,34672,44,10,"£160,000",18054004,6.33333333333333,12.5,15,14.6666666666667,14.3333333333333,15.3333333333333,6,13.8333333333333,2.5,12.5,15,13.8333333333333,2.5,2,2,1,喜欢从双侧内切,#NAME?
Giovanni Di Lorenzo,D/WB RC,32,155,158,Italy,Parthenope,43075156,5,13,10,12,12,7,17,12,14,14,13,10,17,11,15,15,16,11,10,11,17,6,16,15,12,17,11,16,15,12,16,14,20,16,20,15,15,12,11,6,14,3,3,2,1,2,1,3,3,1,1,2,14,15,7,15,11,16,13,11,1,10,17,20,10,16,1,8,1,12,1,1,1,1,183,9,20,"£300,000,000",7750,7750,6400,MediterraneanHispanic,152,8,34185,48,5,"£92,403",43075156,14.3333333333333,15.75,15.5,10,12.6666666666667,11,15.5,14.3333333333333,3,15.75,15.5,14.3333333333333,2.5,1,2.5,1.5,"撞墙式配合
倒地铲球
把球带出防守区域",#NAME?
Ebere Eze,M/AM RLC,27,155,157,"England,Nigeria",Arsenal,29156522,14,13,17,13,15,14,6,15,5,6,15,11,7,16,8,14,8,15,12,14,14,17,12,15,10,15,16,12,14,16,16,9,13,13,13,12,14,3,16,13,14,3,1,1,2,4,1,3,1,3,3,2,14,16,3,12,15,15,12,16,1,1,1,1,1,1,10,14,18,14,18,20,16,10,178,13,20,"£57,500,000",7750,7750,7000,AfricanCaribbean,152,15,35975,12,1,"£190,000",29156522,7.66666666666667,14.25,13.5,16,14.3333333333333,16,7.5,12.8333333333333,2,14.25,13.5,12.8333333333333,1,2,3.5,1.5,"控制节奏
尝试花式动作
喜欢接脚下球
经常带球",#NAME?
Pau Cubarsí,D C,18,154,-95,Spain,Barcelona,2000296497,6,9,11,8,15,7,13,9,10,14,16,10,14,15,13,16,14,16,16,15,16,12,12,10,15,14,15,14,13,14,14,13,14,14,13,14,13,10,14,6,9,1,1,2,3,3,2,3,1,1,2,2,12,16,6,15,15,16,15,18,1,5,20,5,1,1,10,1,1,1,1,1,1,1,184,12,20,"£86,606,480",7700,7700,6700,MediterraneanHispanic,153,5,39104,6,0,"£86,420",2000296497,14.3333333333333,13.75,13.5,14.3333333333333,11.3333333333333,13.6666666666667,13,15.1666666666667,2,13.75,13.5,15.1666666666667,1.5,3,2,2,"经常尝试传身后球
利用脚下技术将球带出危险区
长距离传球",#NAME?
Gabriel Jesus,AM/ST RL,28,154,175,Brazil,Arsenal,19220266,8,12,16,13,15,11,14,11,4,7,13,13,8,16,14,16,14,13,14,15,15,15,12,16,10,18,14,18,14,15,15,10,10,13,13,13,12,12,14,15,12,2,1,3,3,1,3,3,3,1,3,1,15,13,8,12,14,14,14,15,1,1,1,1,1,1,1,1,1,1,15,11,16,20,175,14,20,"£30,799,998",7700,7700,7350,AfricanCaribbean,153,15,35523,64,19,"£120,000",19220266,8.33333333333333,14,13.5,14,14,15.6666666666667,12,15.3333333333333,3,14,13.5,15.3333333333333,2,3,1.5,2,"喜欢过顶球吊射
喜欢从双侧内切
喜欢接脚下球",#NAME?
Fermín,M/AM RLC,22,154,165,Spain,Barcelona,2000141742,10,12,14,13,14,9,11,17,6,7,14,9,10,15,14,13,15,12,13,14,16,15,8,16,8,15,14,16,14,16,14,9,14,13,14,11,12,9,15,8,15,3,2,1,1,1,2,2,3,4,3,2,12,15,5,13,15,15,13,12,1,1,1,1,1,1,8,16,19,16,18,20,18,8,175,15,20,"£85,945,360",7700,7700,6700,MediterraneanHispanic,150,5,37752,2,0,"£76,266",2000141742,8.33333333333333,13.75,13.5,14.3333333333333,13.6666666666667,14.3333333333333,10,14.3333333333333,2.5,13.75,13.5,14.3333333333333,1.5,1,2,2,"跑肋部空间接球
经常尝试传身后球
远射
撞墙式配合
后排插上进攻",#NAME?
