序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,调整后OVR,评级,位置池,主位置,副位置,国籍,俱乐部,身高cm,年龄,惯用脚,传球,停球,盘带,传中,射门,远射,头球,定位球,抢断,盯人,站位,视野,决策,冷静,无球,纪律,速度,加速,力量,耐力,灵活,弹跳,投入,侵略性,守门,反应,来源ID,来源URL,数据集URL,备注
37,荷兰,范布隆克霍斯特,乔瓦尼·范布隆克霍斯特,Giovanni van Bronckhorst,已确认,26项已耦合回归,无结果,,可新增候选,,,Fifa 10 FUT historical card,Kaggle FUT historical partial card archive,86,A,MID,DM,LB,荷兰,巴塞罗那,178,31,左脚,87,85,77,77,64,75,69,70,84,82,83,86,86,85,72,67,76,67,77,86,71,74,85,80,9,9,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推；副位置补全为LB。；巅峰赛季：2005/06，年龄31岁，效力巴塞罗那，惯用左脚；来源锚点+回归补齐；目标OVR 86；回归字段 23；锚点权重 64%；近邻：恰尔汗奥卢、托纳利、布斯克茨、赫拉分贝赫、德扬·斯坦科维奇
38,荷兰,菲利普·科库,菲利普·科库,Phillip Cocu,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,MID,DM,LB,荷兰,巴塞罗那,182,28,左脚,87,85,77,77,64,74,69,70,84,82,83,86,86,85,72,67,66,66,78,86,71,74,85,80,9,9,,https://en.wikipedia.org/wiki/Phillip_Cocu,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1998/99，年龄28岁，效力巴塞罗那，惯用左脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：托纳利、恰尔汗奥卢、布斯克茨、赫拉分贝赫、哈维·阿隆索
39,荷兰,库伊特,迪尔克·库伊特,Dirk Kuyt,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2015),Kaggle FIFA historical complete player archive,86,A,ATT,ST,AM,荷兰,费耶诺德,183,25,右脚,80,85,81,79,88,83,87,76,55,56,64,81,88,92,90,71,79,79,82,88,79,80,87,78,12,12,15723,https://cdn.sofifa.com/players/015/723/17_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；巅峰赛季：2005/06，年龄25岁，效力费耶诺德，惯用右脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 63%；近邻：马尔穆什、阿约塞、大卫·比利亚、卢卡库、卢克曼
40,荷兰,汉斯·范布鲁克伦,汉斯·范布鲁克伦,Hans van Breukelen,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,GK,GK,,荷兰,PSV埃因霍温,188,31,右脚,56,35,71,47,12,13,18,20,16,18,85,23,81,83,14,71,74,48,70,43,54,72,41,32,86,86,,https://www.transfermarkt.com/hans-van-breukelen/profil/spieler/101051,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1987/88，年龄31岁，效力PSV埃因霍温，惯用右脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：乌奈西蒙、皮克福德、德赫亚、布冯、古拉奇
41,荷兰,范博梅尔,马克·范博梅尔,Mark van Bommel,已确认,26项已耦合回归,无结果,,可新增候选,,,Fifa 11 FUT historical card,Kaggle FUT historical partial card archive,87,A,MID,DM,AM,荷兰,PSV埃因霍温,187,28,右脚,86,86,71,76,64,75,71,71,85,83,84,86,88,86,73,68,68,67,79,89,70,75,86,81,10,10,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推；副位置补全为AM。；巅峰赛季：2004/05，年龄28岁，效力PSV埃因霍温，惯用右脚；来源锚点+回归补齐；目标OVR 87；回归字段 23；锚点权重 75%；近邻：赖斯、哈维·阿隆索、卡塞米罗、布斯克茨、赫拉分贝赫
42,荷兰,约翰尼·雷普,约翰尼·雷普,Johnny Rep,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,84,B,ATT,RW,ST,荷兰,阿贾克斯,180,22,右脚,80,86,85,83,83,80,58,78,45,47,48,82,82,84,84,70,84,85,65,76,87,73,76,67,10,10,,https://www.transfermarkt.com/johnny-rep/profil/spieler/135645,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1973/74，年龄22岁，效力阿贾克斯，惯用右脚；同位置回归补齐；目标OVR 84；回归字段 26；锚点权重 0%；近邻：迪马利亚、贝拉尔迪、阿斯帕斯、墨菲、萨维尼奥
43,荷兰,维纳尔杜姆,若尔日尼奥·维纳尔杜姆,Georginio Wijnaldum,已确认,26项已耦合回归,精确命中,Georginio Wijnaldum,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,85,B,MID,AM,DM,荷兰,利物浦,175,28,右脚,86,88,86,80,77,80,76,80,76,76,80,84,85,88,85,69,74,76,74,82,88,80,82,75,12,12,181291,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/georginio-wijnaldum/181291,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；巅峰赛季：2018/19，年龄28岁，效力利物浦，惯用右脚；来源耦合回归；目标OVR 85；回归字段 0；锚点权重 73%；近邻：法布雷加斯、蒂勒曼斯、德保罗、鲁伊·科斯塔、法比安卢伊斯
44,葡萄牙,佩佩,佩佩,Pepe,已确认,26项已耦合回归,仅相似结果,Pepê | Pepelu | Nicolas Pépé | Pepe Reina | Pépé Bonet,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,A,DEF,CB,RB,葡萄牙,皇家马德里,191,33,右脚,69,65,46,41,38,45,90,46,93,94,93,60,86,79,45,73,71,70,89,80,64,89,82,79,13,13,real-def-032,https://www.realmadrid.com/en-US/news/club/announcements/co-08-08-2024,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：2015/16，年龄33岁，效力皇家马德里，惯用右脚；来源耦合回归；目标OVR 88；回归字段 0；锚点权重 75%；近邻：吕迪格、巴雷西、柯纳特、帕乔、鲁本迪亚斯
45,葡萄牙,德科,德科,Deco,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,MID,AM,ST,葡萄牙,波尔图,176,26,右脚,90,90,88,81,80,82,54,83,52,47,62,91,87,89,86,69,77,80,63,77,86,58,76,52,12,12,real-mid-088,https://en.wikipedia.org/wiki/Deco,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：2003/04，年龄26岁，效力波尔图，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 83%；近邻：迪巴拉、托马斯·穆勒、卡卡、麦卡利斯特、巴雷拉
46,葡萄牙,马里奥·科卢纳,马里奥·科卢纳,Mário Coluna,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,MID,DM,AM,葡萄牙,本菲卡,172,26,右脚,86,84,76,75,63,73,67,67,83,81,83,84,85,83,71,67,66,66,77,86,70,72,85,79,9,9,,https://www.transfermarkt.com/mario-coluna/profil/spieler/115055,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1961/62，年龄26岁，效力本菲卡，惯用右脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：坎特、德扬·斯坦科维奇、拉基蒂奇、扎卡、楚阿梅尼
47,葡萄牙,保罗·富特雷,保罗·富特雷,Paulo Futre,已确认,26项已耦合回归,无结果,,可新增候选,,,Fifa 17 FUT historical card,Kaggle FUT historical partial card archive,86,A,ATT,LW,AM,葡萄牙,波尔图,175,21,左脚,77,87,91,83,84,80,65,77,42,45,45,82,84,86,84,73,85,90,68,80,90,78,80,64,12,12,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推；副位置补全为AM。；巅峰赛季：1986/87，年龄21岁，效力波尔图，惯用左脚；来源锚点+回归补齐；目标OVR 86；回归字段 23；锚点权重 80%；近邻：巴尔科拉、莱奥、萨维奥、特罗萨德、孙兴慜
48,葡萄牙,费尔南多·佩罗特奥,费尔南多·佩罗特奥,Fernando Peyroteo,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,ATT,ST,AM,葡萄牙,葡萄牙体育,188,29,右脚,75,86,84,75,88,80,83,73,35,38,43,69,86,85,89,68,84,82,81,79,78,87,78,72,10,10,,https://www.playmakerstats.com/player/fernando-peyroteo/29984,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；副位置补全为AM。；巅峰赛季：1946/47，年龄29岁，效力葡萄牙体育，惯用右脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：大卫·比利亚、卢卡库、马尔穆什、阿约塞、卢克曼
49,葡萄牙,若泽·阿瓜斯,若泽·阿瓜斯,José Águas,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,ATT,ST,AM,葡萄牙,本菲卡,181,30,右脚,73,85,83,73,87,79,82,71,33,37,41,66,84,84,87,67,84,82,79,80,78,86,79,71,10,10,,https://en.wikipedia.org/wiki/Jos%C3%A9_%C3%81guas,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；副位置补全为AM。；巅峰赛季：1960/61，年龄30岁，效力本菲卡，惯用右脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：莫伊斯基恩、雷特吉、帕维里迪斯、奥鹏达、亨利
50,葡萄牙,费尔南多·戈麦斯,费尔南多·戈麦斯,Fernando Gomes,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,ATT,ST,AM,葡萄牙,波尔图,176,30,右脚,76,87,85,75,88,82,85,75,36,40,45,72,87,87,90,68,85,83,81,80,80,87,79,72,11,11,,https://en.wikipedia.org/wiki/Fernando_Gomes_(Portuguese_footballer),,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；副位置补全为AM。；巅峰赛季：1986/87，年龄30岁，效力波尔图，惯用右脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：沃特金斯、本泽马、希克、马科斯图拉姆、迭戈·米利托
51,葡萄牙,鲁伊·帕特里西奥,鲁伊·帕特里西奥,Rui Patrício,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,GK,GK,,葡萄牙,葡萄牙体育,194,28,左脚,62,53,38,25,11,14,26,26,21,21,87,49,84,79,21,78,54,52,77,60,69,83,55,39,90,92,real-gk-056,https://en.wikipedia.org/wiki/Rui_Patr%C3%ADcio,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：2015/16，年龄28岁，效力葡萄牙体育，惯用左脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 73%；近邻：科贝尔、特尔施特根、大卫拉亚、大马丁、迈尼昂
52,葡萄牙,穆蒂尼奥,若昂·穆蒂尼奥,João Moutinho,已确认,26项已耦合回归,精确命中,João Moutinho,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,87,A,MID,AM,DM,葡萄牙,波尔图,170,25,右脚,92,89,87,86,74,80,66,85,72,73,77,85,87,93,84,73,58,64,63,82,76,65,84,73,13,13,162347,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-moutinho/162347,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；巅峰赛季：2011/12，年龄25岁，效力波尔图，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 65%；近邻：巴雷拉、麦卡利斯特、厄德高、布鲁诺费尔南德斯、吉马良斯
53,葡萄牙,温贝托·科埃略,温贝托·科埃略,Humberto Coelho,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,89,A,DEF,CB,DM,葡萄牙,本菲卡,185,26,右脚,76,74,64,60,44,48,89,50,92,92,91,60,88,81,51,67,80,71,90,78,63,90,79,86,12,12,,https://www.transfermarkt.com/humberto-coelho/profil/spieler/705270,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1975/76，年龄26岁，效力本菲卡，惯用右脚；同位置回归补齐；目标OVR 89；回归字段 26；锚点权重 0%；近邻：蒂亚戈·席尔瓦、马尔基尼奥斯、加布里埃尔、巴斯托尼、范戴克
54,葡萄牙,查拉纳,查拉纳,Chalana,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,MID,LM,LW,葡萄牙,本菲卡,165,25,左脚,88,87,85,82,78,77,64,72,47,49,50,87,86,81,82,68,85,86,65,87,86,76,82,66,9,9,,https://www.transfermarkt.com/fernando-chalana/profil/spieler/106633,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1983/84，年龄25岁，效力本菲卡，惯用左脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：尼科威廉姆斯、拉菲尼亚、路易斯迪亚斯、华金、扎卡尼
55,葡萄牙,保莱塔,保莱塔,Pauleta,已确认,26项已耦合回归,仅相似结果,Pauleta | Pauleta Sancho,可新增候选,,,Fifa 17 FUT historical card,Kaggle FUT historical partial card archive,89,A,ATT,ST,AM,葡萄牙,巴黎圣日耳曼,180,33,右脚,75,89,83,75,92,84,84,77,37,39,47,74,89,91,93,70,86,84,82,79,82,85,79,72,11,11,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推；副位置补全为AM。；巅峰赛季：2005/06，年龄33岁，效力巴黎圣日耳曼，惯用右脚；来源锚点+回归补齐；目标OVR 89；回归字段 23；锚点权重 80%；近邻：克鲁伊夫、莱万多夫斯基、劳塔罗马丁内斯、凯恩、克洛泽
56,葡萄牙,曼努埃尔·本托,曼努埃尔·本托,Manuel Bento,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,GK,GK,,葡萄牙,本菲卡,186,35,右脚,61,53,36,24,11,14,26,25,20,20,87,50,83,79,20,77,53,52,76,60,69,83,54,38,91,91,real-gk-086,https://en.wikipedia.org/wiki/Manuel_Bento,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1983/84，年龄35岁，效力本菲卡，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 78%；近邻：特尔施特根、大卫拉亚、科贝尔、埃德松、卡恩
57,葡萄牙,若昂·维埃拉·平托,若昂·维埃拉·平托,João Vieira Pinto,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,ATT,ST,AM,葡萄牙,本菲卡,171,24,右脚,75,86,84,74,88,81,82,72,34,38,43,70,85,85,89,68,84,83,79,78,80,85,78,71,10,10,,https://www.transfermarkt.com/joao-pinto/profil/spieler/3628,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1995/96，年龄24岁，效力本菲卡，惯用右脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：卢克曼、罗马里奥、阿约塞、马尔穆什、大卫·比利亚
58,葡萄牙,费尔南多·库托,费尔南多·库托,Fernando Couto,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2007),Kaggle FIFA historical complete player archive,85,B,DEF,CB,RB,葡萄牙,拉齐奥,183,30,右脚,72,76,60,64,40,68,92,57,91,94,94,57,58,78,59,49,67,65,79,66,61,87,66,75,10,10,1186,https://cdn.sofifa.com/players/001/186/08_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为RB。；巅峰赛季：1999/00，年龄30岁，效力拉齐奥，惯用右脚；来源锚点+回归补齐；目标OVR 85；回归字段 4；锚点权重 79%；近邻：杰拉德·皮克、卡纳瓦罗、因卡皮耶、奥尔班、穆里略
59,葡萄牙,维托尔·拜亚,维托尔·拜亚,Vítor Baía,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,90,S,GK,GK,,葡萄牙,波尔图,184,34,右脚,60,40,71,48,14,16,21,23,19,21,91,28,85,88,17,76,75,51,75,47,60,77,46,35,90,91,,https://www.transfermarkt.com/vitor-baia/profil/spieler/8016,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：2003/04，年龄34岁，效力波尔图，惯用右脚；同位置回归补齐；目标OVR 90；回归字段 26；锚点权重 0%；近邻：儒利奥·塞萨尔、库尔图瓦、卡西利亚斯、奥布拉克、阿利松
60,葡萄牙,纳尼,纳尼,Nani,已确认,26项已耦合回归,精确命中,Nani,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,84,B,MID,LM,LW,葡萄牙,曼联,177,24,右脚,87,89,89,86,80,83,74,83,32,45,42,88,79,85,82,70,80,82,70,77,89,81,74,69,14,14,139068,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nani/139068,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；巅峰赛季：2010/11，年龄24岁，效力曼彻斯特联，惯用右脚；来源耦合回归；目标OVR 84；回归字段 0；锚点权重 63%；近邻：扎卡尼、内德维德、加克波、巴埃纳、格里马尔多
61,葡萄牙,保罗·索萨,保罗·索萨,Paulo Sousa,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,88,A,MID,DM,CB,葡萄牙,多特蒙德,177,26,右脚,88,87,77,76,63,75,72,71,86,83,85,87,89,87,72,69,67,67,79,89,71,76,86,82,10,10,,https://en.wikipedia.org/wiki/Paulo_Sousa,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1996/97，年龄26岁，效力多特蒙德，惯用右脚；同位置回归补齐；目标OVR 88；回归字段 26；锚点权重 0%；近邻：皮尔洛、凯赛多、卡塞米罗、哈维·阿隆索、基米希
62,葡萄牙,夸雷斯马,里卡多·夸雷斯马,Ricardo Quaresma,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,86,A,ATT,RW,LW,葡萄牙,波尔图,175,24,右脚,83,92,94,89,79,86,55,87,30,39,41,89,83,90,85,73,82,83,66,67,88,73,67,73,13,13,20775,https://cdn.sofifa.com/players/020/775/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照；巅峰赛季：2007/08，年龄24岁，效力波尔图，惯用右脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 68%；近邻：卡纳里奥、乔治贝斯特、罗德里戈、阿斯帕斯、普利希奇
63,意大利,朱塞佩·梅阿查,朱塞佩·梅阿查,Giuseppe Meazza,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,93,S,ATT,ST,AM,意大利,国际米兰,169,27,右脚,80,92,91,76,95,87,86,80,38,38,48,77,91,93,96,73,90,88,85,83,86,87,82,73,12,12,,https://en.wikipedia.org/wiki/Giuseppe_Meazza,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1937/38，年龄27岁，效力国际米兰，惯用右脚；同位置回归补齐；目标OVR 93；回归字段 26；锚点权重 0%；近邻：姆巴佩、C罗、盖德·穆勒、哈兰德、贝利
64,意大利,罗伯托·巴乔,罗伯托·巴乔,Roberto Baggio,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,ATT,ST,LW,意大利,尤文图斯,183,27,右脚,74,86,83,64,94,84,80,73,32,31,51,72,85,91,92,67,85,86,80,76,81,77,74,65,9,9,real-att-129,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1993/94，年龄27岁，效力尤文图斯，惯用右脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 88%；近邻：罗宾·范佩西、莱万多夫斯基、肯佩斯、登贝莱、凯恩
65,意大利,加埃塔诺·西雷阿,加埃塔诺·西雷阿,Gaetano Scirea,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,A,DEF,CB,RB,意大利,尤文图斯,185,29,右脚,67,65,47,42,36,42,87,44,94,94,92,58,83,79,45,72,72,66,88,79,62,87,81,77,9,9,real-def-132,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1981/82，年龄29岁，效力尤文图斯，惯用右脚；来源耦合回归；目标OVR 88；回归字段 0；锚点权重 88%；近邻：巴雷西、鲁本迪亚斯、帕乔、吕迪格、柯纳特
66,意大利,迪诺·佐夫,迪诺·佐夫,Dino Zoff,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,GK,GK,,意大利,尤文图斯,182,40,右脚,56,53,35,23,11,14,24,24,20,18,88,51,86,81,19,76,49,50,75,59,68,81,53,36,89,90,real-gk-049,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1981/82，年龄40岁，效力尤文图斯，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 88%；近邻：大卫拉亚、特尔施特根、科贝尔、索默、埃德松
67,意大利,詹尼·里维拉,詹尼·里维拉,Gianni Rivera,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,MID,AM,RM,意大利,AC米兰,175,26,右脚,88,88,87,86,80,82,62,77,66,64,69,86,88,88,84,69,75,76,68,85,82,71,83,69,9,9,,https://www.transfermarkt.com/gianni-rivera/profil/spieler/145347,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1968/69，年龄26岁，效力AC米兰，惯用右脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：巴雷拉、麦卡利斯特、迪巴拉、厄德高、布鲁诺费尔南德斯
68,意大利,保罗·罗西,保罗·罗西,Paolo Rossi,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,86,A,ATT,ST,AM,意大利,尤文图斯,187,25,右脚,72,84,80,62,90,82,78,70,30,29,48,69,83,88,90,65,82,84,78,75,79,76,73,64,9,9,real-att-138,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1981/82，年龄25岁，效力尤文图斯，惯用右脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 88%；近邻：大卫·比利亚、马尔穆什、卢卡库、阿约塞、卢克曼
69,意大利,贾琴托·法切蒂,贾琴托·法切蒂,Giacinto Facchetti,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,DEF,LB,LM,意大利,国际米兰,182,22,左脚,77,75,74,83,50,60,62,59,90,89,88,72,75,74,75,71,96,87,82,88,84,69,88,70,11,11,real-def-139,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1964/65，年龄22岁，效力国际米兰，惯用左脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 88%；近邻：努诺门德斯、迪马尔科、保罗马尔蒂尼、特奥、罗伯特卡洛斯
70,意大利,路易吉·里瓦,路易吉·里瓦,Luigi Riva,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,ATT,ST,LW,意大利,卡利亚里,180,25,左脚,75,86,84,74,88,80,83,73,36,39,44,70,86,85,89,68,84,82,80,78,79,86,78,72,10,10,,https://en.wikipedia.org/wiki/Gigi_Riva,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1969/70，年龄25岁，效力卡利亚里，惯用左脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：曼朱基奇、阿约塞、马尔穆什、卢克曼、大卫·比利亚
71,意大利,德尔皮耶罗,亚历山德罗·德尔·皮耶罗,Alessandro Del Piero,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,ATT,ST,AM,意大利,尤文图斯,184,23,右脚,74,86,83,64,94,84,80,73,32,31,51,72,85,91,92,67,85,86,80,76,81,77,75,65,9,9,real-att-130,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1997/98，年龄23岁，效力尤文图斯，惯用右脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 88%；近邻：莱万多夫斯基、凯恩、克洛泽、劳尔·冈萨雷斯、克鲁伊夫
72,附加,纳瓦斯,凯洛尔·纳瓦斯,Keylor Navas,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,GK,GK,,哥斯达黎加,皇家马德里,186,30,右脚,63,55,38,25,12,16,28,27,22,22,89,52,85,81,22,79,54,53,78,62,71,85,56,40,92,94,real-gk-032,https://en.wikipedia.org/wiki/Keylor_Navas,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；已人工补全/校对：国籍、俱乐部。俱乐部按标准1填写（退役球员统一为“传奇球员”）。；巅峰赛季：2016/17，年龄30岁，效力皇家马德里，惯用右脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 75%；近邻：奥布拉克、卡西利亚斯、阿利松、多纳鲁马、索默
73,附加,J罗,哈梅斯·罗德里格斯,James Rodríguez,已确认,26项已耦合回归,,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,89,A,MID,AM,RW,哥伦比亚,皇家马德里,181,23,左脚,94,96,94,94,89,95,65,90,55,60,65,92,93,95,88,77,66,68,68,70,87,55,68,65,13,13,198710,https://cdn.sofifa.com/players/198/710/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,已人工补全/校对：位置池、主位置、副位置、国籍、俱乐部、身高cm。俱乐部按标准1填写（退役球员统一为“传奇球员”）。；巅峰赛季：2014/15，年龄23岁，效力皇家马德里，惯用左脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 70%；近邻：贝林厄姆、佩德里、维蒂尼亚、因涅斯塔、博格巴
