序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,来源OVR,调整后OVR,评级,位置池,主位置,副位置,原始位置,国籍,俱乐部,联赛,身高cm,年龄,惯用脚,逆足,花式,passing,firstTouch,dribbling,crossing,finishing,longShots,heading,setPieces,tackling,marking,positioning,vision,decisions,composure,offBall,discipline,pace,acceleration,strength,stamina,agility,jumping,workRate,aggression,goalkeeping,reflexes,来源ID,来源URL,数据集URL,备注
61,葡萄牙,保罗·索萨,保罗·索萨,Paulo Sousa,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
62,葡萄牙,里卡多·夸雷斯马,里卡多·夸雷斯马,Ricardo Quaresma,已映射,26项已齐,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,77,77,,ATT,RW,LW,RW,Portugal,Vitória de Guimarães,,175,37,right,4,5,75,84,86,82,64,78,41,79,14,29,27,83,72,82,73,64,72,72,59,54,80,63,54,68,8,8,20775,https://cdn.sofifa.com/players/020/775/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照
63,意大利,朱塞佩·梅阿查,朱塞佩·梅阿查,Giuseppe Meazza,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
64,意大利,罗伯托·巴乔,罗伯托·巴乔,Roberto Baggio,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,ATT,ST,LW,ST,意大利,传奇球员,,183,27,right,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,real-att-129,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
65,意大利,加埃塔诺·西雷阿,加埃塔诺·西雷阿,Gaetano Scirea,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,89,,DEF,CB,RB,CB,意大利,传奇球员,,185,27,right,,,67,64,45,40,36,42,88,44,93,93,92,59,84,80,45,74,70,67,88,80,63,88,82,77,10,10,real-def-132,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
66,意大利,迪诺·佐夫,迪诺·佐夫,Dino Zoff,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,GK,GK,,GK,意大利,尤文图斯,,182,27,right,,,56,56,29,19,11,15,26,25,21,19,96,56,88,88,21,77,45,51,77,63,71,83,56,37,99,99,real-gk-049,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
67,意大利,詹尼·里维拉,詹尼·里维拉,Gianni Rivera,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
68,意大利,保罗·罗西,保罗·罗西,Paolo Rossi,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,85,85,,ATT,ST,AM,ST,意大利,传奇球员,,187,27,right,,,71,83,80,60,92,81,77,69,29,27,48,68,81,88,90,64,82,83,77,73,78,74,71,62,8,8,real-att-138,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
69,意大利,贾琴托·法切蒂,贾琴托·法切蒂,Giacinto Facchetti,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,DEF,LB,LM,LB,意大利,传奇球员,,182,27,left,,,76,74,73,83,49,59,59,58,79,78,77,70,73,73,74,70,87,86,70,87,83,66,87,68,10,10,real-def-139,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
70,意大利,路易吉·里瓦,路易吉·里瓦,Luigi Riva,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
71,意大利,亚历山德罗·德尔·皮耶罗,亚历山德罗·德尔·皮耶罗,Alessandro Del Piero,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,ATT,ST,AM,ST,意大利,传奇球员,,184,27,right,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,real-att-130,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
72,附加,库库雷利亚,马克·库库雷利亚,Marc Cucurella,已映射,26项已齐,精确命中,Marc Cucurella,当前球员池已存在,s4-fc26-239231,库尼亚,EA SPORTS FC official live ratings,EA official Drop API,82,82,,DEF,LB,,LB,Spain,Chelsea,Premier League,173,28,left,3,3,81,82,79,81,55,60,68,66,80,78,78,77,81,78,76,61,75,78,67,88,82,76,88,81,8,8,239231,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-cucurella/239231,https://www.ea.com/games/ea-sports-fc/ratings,当前 S4 已存在 库尼亚（s4-fc26-239231，A级），请确认是否跳过或作为新版本卡处理
73,附加,纳瓦斯（门将）,凯洛尔·纳瓦斯,Keylor Navas,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,83,83,,GK,GK,,GK,未登记,未登记俱乐部,,186,27,right,,,56,53,26,16,8,12,23,22,18,16,84,53,78,76,18,74,46,48,74,60,68,80,53,34,90,90,real-gk-032,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
